stage,match_number,Daco,dafran,Dogman,Erster,frd,FunnyAstro,Gator,Kodak,Masaa,NLaaeR,Pokpo,AimGod,alemao,Axxiom,blase,ColourHex,Fusions,Kellex,NotE,Persia,ameng,Baconjack,Elsa,GARRY,JinMu,JIQIREN,Kyo,lateyoung,YangXiaoLong,Yveltal,aKm,Closer,EFFECT,HarryHook,Mickie,OGE,rCk,Taimou,Trill,uNKOE,ZachaREEE,Apply,bqb,byrem,DPI,GARGOYLE,HaGoPeun,Karayan,Kris,Mcgravy,RaiN,sayaplayer,SNT,SWoN,TviQ,xepheR,Chara,Eileen,Happy,HOTBA,Kyb,nero,Onlywish,Rio,Rise,shu,Adora,Bazzi,BEBE,GodsB,Guxue,iDK,Krystal,NoSmite,Revenge,Ria,SASIN,ArHaN,Bani,Boink,coolmatt,Danteh,Jake,LiNkzr,Muma,Rawkus,SPREE,Bdosin,BIRDRING,Fury,Gesture,Guard,Krillin,NUS,Profit,QuaterMain,BigG00se,Bischu,Decay,Hydration,Panker,Ripa,rOar,Shaz,Surefour,Void,Agilities,Bunny,Custa,Fate,FCTFCTN,IZaYaKI,KariV,KSF,KuKi,Shax,SPACE,Anamo,ArK,Fl0w3R,JJONAK,Libero,Mano,MekO,Nenne,Pine,Saebyeolbe,BenBest,danye,Finnsi,Greyy,HyP,Kruise,LhCloudy,NiCOgdh,ShaDowBurn,SoOn,Boombox,carpe,Elk,eqo,fragi,neptuNo,Poko,Sado,snillo,Architect,babybay,Choihyobin,moth,Nevix,Rascal,sinatraa,sleepy,Smurf,STRIKER,super,Viol2t,Fissure,FITS,Fleta,Highly,ILLICIT,Jecse,Marve1,Michelle,Munchkin,ryujehong,tobi,ZUNBA,CoMa,DDing,diem,Diya,FEARLESS,Gamsu,Geguri,GuardiaN,Luffy,YOUNGJIN,Aid,Asher,Envy,Gods,im37,ivy,Logix,Mangachu,Neko,RoKy,sharyk,Stellar,Yakpung,BUMPER,Haksal,Hooreg,JJANU,RAPEL,SeoMinSoo,SLIME,Stitch,Twilight,Ado,Corey,Fahzix,Gido,Hyeonu,Janus,Sansam,Stratus,,,,,,,,,,,,,,,
Stage 3,6,ATL,,ATL,ATL,ATL,,ATL,ATL,ATL,ATL,ATL,BOS,BOS,BOS,BOS,BOS,BOS,BOS,DAL,BOS,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,DAL,DAL,DAL,DAL,DAL,DAL,BOS,DAL,DAL,DAL,DAL,,FLA,FLA,FLA,FLA,FLA,,FLA,VAL,FLA,FLA,FLA,FLA,,FLA,GZC,GZC,GZC,GZC,GZC,GZC,GZC,GZC,GZC,GZC,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,LDN,LDN,LDN,LDN,LDN,LDN,LDN,LDN,LDN,GLA,GLA,GLA,GLA,GLA,GLA,GLA,GLA,GLA,GLA,VAL,,VAL,FLA,VAL,VAL,VAL,VAL,VAL,VAL,VAL,NYE,WAS,NYE,NYE,NYE,NYE,NYE,NYE,NYE,NYE,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,SFS,ATL,SFS,SFS,SFS,SFS,SFS,WAS,SFS,SFS,SFS,SFS,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,TOR,TOR,SHD,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,,TOR,VAN,VAN,VAN,VAN,VAN,VAN,VAN,VAN,VAN,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,,,,,,,,,,,,,,,
Stage 3,7,ATL,,ATL,ATL,ATL,,ATL,ATL,ATL,ATL,ATL,BOS,BOS,BOS,BOS,BOS,BOS,BOS,DAL,BOS,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,DAL,DAL,DAL,DAL,DAL,DAL,BOS,DAL,DAL,DAL,DAL,,FLA,FLA,FLA,FLA,FLA,,FLA,VAL,FLA,FLA,FLA,FLA,,FLA,GZC,GZC,GZC,GZC,GZC,GZC,GZC,GZC,GZC,GZC,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,LDN,LDN,LDN,LDN,LDN,LDN,LDN,LDN,LDN,GLA,GLA,GLA,GLA,GLA,GLA,GLA,GLA,GLA,GLA,VAL,,VAL,FLA,VAL,VAL,VAL,VAL,VAL,VAL,VAL,NYE,WAS,NYE,NYE,NYE,NYE,NYE,NYE,NYE,NYE,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,SFS,ATL,SFS,SFS,SFS,SFS,SFS,WAS,SFS,SFS,SFS,SFS,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,TOR,TOR,SHD,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,,TOR,VAN,VAN,VAN,VAN,VAN,VAN,VAN,VAN,VAN,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,,,,,,,,,,,,,,,
Stage 3 Title Matches,1,ATL,,ATL,ATL,ATL,,ATL,ATL,ATL,ATL,ATL,BOS,BOS,BOS,BOS,BOS,BOS,BOS,DAL,BOS,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,DAL,DAL,DAL,DAL,DAL,DAL,BOS,DAL,DAL,DAL,DAL,,FLA,FLA,FLA,FLA,FLA,,FLA,VAL,FLA,FLA,FLA,FLA,,FLA,GZC,GZC,GZC,GZC,GZC,GZC,GZC,GZC,GZC,GZC,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,LDN,LDN,LDN,LDN,LDN,LDN,LDN,LDN,LDN,GLA,GLA,GLA,GLA,GLA,GLA,GLA,GLA,GLA,GLA,VAL,,VAL,FLA,VAL,VAL,VAL,VAL,VAL,VAL,VAL,NYE,WAS,NYE,NYE,NYE,NYE,NYE,NYE,NYE,NYE,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,SFS,ATL,SFS,SFS,SFS,SFS,SFS,WAS,SFS,SFS,SFS,SFS,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,TOR,TOR,SHD,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,,TOR,VAN,VAN,VAN,VAN,VAN,VAN,VAN,VAN,VAN,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,,,,,,,,,,,,,,,
Stage 3 Title Matches,2,ATL,,ATL,ATL,ATL,,ATL,ATL,ATL,ATL,ATL,BOS,BOS,BOS,BOS,BOS,BOS,BOS,DAL,BOS,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,DAL,DAL,DAL,DAL,DAL,DAL,BOS,DAL,DAL,DAL,DAL,,FLA,FLA,FLA,FLA,FLA,,FLA,VAL,FLA,FLA,FLA,FLA,,FLA,GZC,GZC,GZC,GZC,GZC,GZC,GZC,GZC,GZC,GZC,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,LDN,LDN,LDN,LDN,LDN,LDN,LDN,LDN,LDN,GLA,GLA,GLA,GLA,GLA,GLA,GLA,GLA,GLA,GLA,VAL,,VAL,FLA,VAL,VAL,VAL,VAL,VAL,VAL,VAL,NYE,WAS,NYE,NYE,NYE,NYE,NYE,NYE,NYE,NYE,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,SFS,ATL,SFS,SFS,SFS,SFS,SFS,WAS,SFS,SFS,SFS,SFS,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,TOR,TOR,SHD,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,,TOR,VAN,VAN,VAN,VAN,VAN,VAN,VAN,VAN,VAN,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,,,,,,,,,,,,,,,
Stage 3 Title Matches,3,ATL,,ATL,ATL,ATL,,ATL,ATL,ATL,ATL,ATL,BOS,BOS,BOS,BOS,BOS,BOS,BOS,DAL,BOS,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,DAL,DAL,DAL,DAL,DAL,DAL,BOS,DAL,DAL,DAL,DAL,,FLA,FLA,FLA,FLA,FLA,,FLA,VAL,FLA,FLA,FLA,FLA,,FLA,GZC,GZC,GZC,GZC,GZC,GZC,GZC,GZC,GZC,GZC,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HZS,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,LDN,LDN,LDN,LDN,LDN,LDN,LDN,LDN,LDN,GLA,GLA,GLA,GLA,GLA,GLA,GLA,GLA,GLA,GLA,VAL,,VAL,FLA,VAL,VAL,VAL,VAL,VAL,VAL,VAL,NYE,WAS,NYE,NYE,NYE,NYE,NYE,NYE,NYE,NYE,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,SFS,ATL,SFS,SFS,SFS,SFS,SFS,WAS,SFS,SFS,SFS,SFS,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,TOR,TOR,SHD,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,,TOR,VAN,VAN,VAN,VAN,VAN,VAN,VAN,VAN,VAN,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,,,,,,,,,,,,,,,
Stage 4,1,ATL,,ATL,ATL,ATL,,ATL,ATL,ATL,ATL,ATL,BOS,BOS,BOS,BOS,BOS,BOS,BOS,DAL,BOS,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,DAL,DAL,DAL,DAL,DAL,DAL,BOS,DAL,DAL,DAL,DAL,,FLA,FLA,FLA,FLA,FLA,,FLA,VAL,FLA,FLA,FLA,FLA,,FLA,GZC,GZC,GZC,GZC,PHI,GZC,GZC,GZC,GZC,GZC,HZS,HZS,HZS,HZS,HZS,HZS,,HZS,HZS,HZS,HZS,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,LDN,LDN,LDN,LDN,LDN,LDN,LDN,LDN,LDN,GLA,GZC,GLA,GLA,GLA,GLA,GLA,GLA,GLA,GLA,VAL,,VAL,FLA,VAL,SHD,VAL,VAL,,VAL,VAL,NYE,WAS,NYE,NYE,NYE,NYE,NYE,NYE,NYE,NYE,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PHI,PHI,PHI,PHI,GZC,PHI,PHI,PHI,PHI,SFS,ATL,SFS,SFS,SFS,SFS,SFS,WAS,SFS,SFS,SFS,SFS,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,,SEO,SEO,SEO,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,TOR,TOR,SHD,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,BOS,TOR,VAN,VAN,VAN,VAN,VAN,VAN,VAN,VAN,VAN,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,,,,,,,,,,,,,,,
Stage 4,2,ATL,,ATL,ATL,ATL,,ATL,ATL,ATL,ATL,ATL,BOS,BOS,BOS,BOS,BOS,BOS,BOS,DAL,BOS,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,DAL,DAL,DAL,DAL,DAL,DAL,BOS,DAL,DAL,DAL,DAL,,FLA,FLA,FLA,FLA,FLA,,FLA,VAL,FLA,FLA,FLA,FLA,,FLA,GZC,GZC,GZC,GZC,PHI,GZC,GZC,GZC,GZC,GZC,HZS,HZS,HZS,HZS,HZS,HZS,,HZS,HZS,HZS,HZS,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,LDN,LDN,LDN,LDN,LDN,LDN,LDN,LDN,LDN,GLA,GZC,GLA,GLA,GLA,GLA,GLA,GLA,GLA,GLA,VAL,,VAL,FLA,VAL,SHD,VAL,VAL,,VAL,VAL,NYE,WAS,NYE,NYE,NYE,NYE,NYE,NYE,NYE,NYE,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PHI,PHI,PHI,PHI,GZC,PHI,PHI,PHI,PHI,SFS,ATL,SFS,SFS,SFS,SFS,SFS,WAS,SFS,SFS,SFS,SFS,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,,SEO,SEO,SEO,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,TOR,TOR,SHD,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,BOS,TOR,VAN,VAN,VAN,VAN,VAN,VAN,VAN,VAN,VAN,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,,,,,,,,,,,,,,,
Stage 4,3,ATL,,ATL,ATL,ATL,,ATL,ATL,ATL,ATL,ATL,BOS,BOS,BOS,BOS,BOS,BOS,BOS,DAL,BOS,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,DAL,DAL,DAL,DAL,DAL,DAL,BOS,DAL,DAL,DAL,DAL,,FLA,FLA,FLA,FLA,FLA,,FLA,VAL,FLA,FLA,FLA,FLA,,FLA,GZC,GZC,GZC,GZC,PHI,GZC,GZC,GZC,GZC,GZC,HZS,HZS,HZS,HZS,HZS,HZS,,HZS,HZS,HZS,HZS,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,LDN,LDN,LDN,LDN,LDN,LDN,LDN,LDN,LDN,GLA,GZC,GLA,GLA,GLA,GLA,GLA,GLA,GLA,GLA,VAL,,VAL,FLA,VAL,SHD,VAL,VAL,,VAL,VAL,NYE,WAS,NYE,NYE,NYE,NYE,NYE,NYE,NYE,NYE,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PHI,PHI,PHI,PHI,GZC,PHI,PHI,PHI,PHI,SFS,ATL,SFS,SFS,SFS,SFS,SFS,WAS,SFS,SFS,SFS,SFS,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,,SEO,SEO,SEO,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,TOR,TOR,SHD,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,BOS,TOR,VAN,VAN,VAN,VAN,VAN,VAN,VAN,VAN,VAN,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,,,,,,,,,,,,,,,
Stage 4,4,ATL,,ATL,ATL,ATL,,ATL,ATL,ATL,ATL,ATL,BOS,BOS,BOS,BOS,BOS,BOS,BOS,DAL,BOS,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,DAL,DAL,DAL,DAL,DAL,DAL,BOS,DAL,DAL,DAL,DAL,,FLA,FLA,FLA,FLA,FLA,,FLA,VAL,FLA,FLA,FLA,FLA,,FLA,GZC,GZC,GZC,GZC,PHI,GZC,GZC,GZC,GZC,GZC,HZS,HZS,HZS,HZS,HZS,HZS,,HZS,HZS,HZS,HZS,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,LDN,LDN,LDN,LDN,LDN,LDN,LDN,LDN,LDN,GLA,GZC,GLA,GLA,GLA,GLA,GLA,GLA,GLA,GLA,VAL,,VAL,FLA,VAL,SHD,VAL,VAL,,VAL,VAL,NYE,WAS,NYE,NYE,NYE,NYE,NYE,NYE,NYE,NYE,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PHI,PHI,PHI,PHI,GZC,PHI,PHI,PHI,PHI,SFS,ATL,SFS,SFS,SFS,SFS,SFS,WAS,SFS,SFS,SFS,SFS,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,,SEO,SEO,SEO,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,TOR,TOR,SHD,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,BOS,TOR,VAN,VAN,VAN,VAN,VAN,VAN,VAN,VAN,VAN,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,,,,,,,,,,,,,,,
Stage 4,5,ATL,,ATL,ATL,ATL,,ATL,ATL,ATL,ATL,ATL,BOS,BOS,BOS,BOS,BOS,BOS,BOS,DAL,BOS,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,DAL,DAL,DAL,DAL,DAL,DAL,BOS,DAL,DAL,DAL,DAL,,FLA,FLA,FLA,FLA,FLA,,FLA,VAL,FLA,FLA,FLA,FLA,,FLA,GZC,GZC,GZC,GZC,PHI,GZC,GZC,GZC,GZC,GZC,HZS,HZS,HZS,HZS,HZS,HZS,,HZS,HZS,HZS,HZS,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,LDN,LDN,LDN,LDN,LDN,LDN,LDN,LDN,LDN,GLA,GZC,GLA,GLA,GLA,GLA,GLA,GLA,GLA,GLA,VAL,,VAL,FLA,VAL,SHD,VAL,VAL,,VAL,VAL,NYE,WAS,NYE,NYE,NYE,NYE,NYE,NYE,NYE,NYE,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PHI,PHI,PHI,PHI,GZC,PHI,PHI,PHI,PHI,SFS,ATL,SFS,SFS,SFS,SFS,SFS,WAS,SFS,SFS,SFS,SFS,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,,SEO,SEO,SEO,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,TOR,TOR,SHD,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,BOS,TOR,VAN,VAN,VAN,VAN,VAN,VAN,VAN,VAN,VAN,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,,,,,,,,,,,,,,,
Stage 4,6,ATL,,ATL,ATL,ATL,,ATL,ATL,ATL,ATL,ATL,BOS,BOS,BOS,BOS,BOS,BOS,BOS,DAL,BOS,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,DAL,DAL,DAL,DAL,DAL,DAL,BOS,DAL,DAL,DAL,DAL,,FLA,FLA,FLA,FLA,FLA,FLA,FLA,VAL,FLA,FLA,FLA,FLA,,FLA,GZC,GZC,GZC,GZC,PHI,GZC,GZC,GZC,GZC,GZC,HZS,HZS,HZS,HZS,HZS,HZS,,HZS,HZS,HZS,HZS,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,LDN,LDN,LDN,LDN,LDN,LDN,LDN,LDN,LDN,GLA,GZC,GLA,GLA,GLA,GLA,GLA,GLA,GLA,GLA,VAL,,VAL,FLA,VAL,SHD,VAL,VAL,,VAL,VAL,NYE,WAS,NYE,NYE,NYE,NYE,NYE,NYE,NYE,NYE,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PHI,PHI,PHI,PHI,GZC,PHI,PHI,PHI,PHI,SFS,ATL,SFS,SFS,SFS,SFS,SFS,WAS,SFS,SFS,SFS,SFS,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,,SEO,SEO,SEO,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,TOR,TOR,SHD,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,BOS,TOR,VAN,VAN,VAN,VAN,VAN,VAN,VAN,VAN,VAN,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,,,,,,,,,,,,,,,
Stage 4,7,ATL,,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,BOS,BOS,BOS,BOS,BOS,BOS,BOS,DAL,BOS,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,CDH,DAL,DAL,DAL,DAL,DAL,DAL,BOS,DAL,DAL,DAL,DAL,,FLA,FLA,FLA,FLA,FLA,FLA,FLA,VAL,FLA,FLA,FLA,FLA,,FLA,GZC,GZC,GZC,GZC,PHI,GZC,GZC,GZC,GZC,GZC,HZS,HZS,HZS,HZS,HZS,HZS,,HZS,HZS,HZS,HZS,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,LDN,LDN,LDN,LDN,LDN,LDN,LDN,LDN,LDN,GLA,GZC,GLA,GLA,GLA,GLA,GLA,GLA,GLA,GLA,VAL,,VAL,FLA,VAL,SHD,VAL,VAL,,VAL,VAL,NYE,WAS,NYE,NYE,NYE,NYE,NYE,NYE,NYE,NYE,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PHI,PHI,PHI,PHI,GZC,PHI,PHI,PHI,PHI,SFS,ATL,SFS,SFS,SFS,SFS,SFS,WAS,SFS,SFS,SFS,SFS,SEO,SEO,SEO,SEO,SEO,SEO,SEO,SEO,,SEO,SEO,SEO,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,SHD,TOR,TOR,SHD,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,BOS,TOR,VAN,VAN,VAN,VAN,VAN,VAN,VAN,VAN,VAN,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,,,,,,,,,,,,,,,
